dataset,case,kind,metric,n,missing,min,q25,median,q75,max,mean
synthetic,linear_mask_threshold,own_wrapper_mutation,file_witness_seconds,32,0,0.012383200000840588,0.032540200000312325,0.05346859999917797,0.06483445000094434,0.08831830000053742,0.05025490937515542
synthetic,linear_mask_threshold,own_wrapper_mutation,file_unavailable_elapsed_seconds,0,32,,,,,,
synthetic,orient,valid_control,producer_seconds,32,0,0.0012459999998100102,0.002059749999716587,0.002251300000352785,0.0027277999997750157,0.00342350000028091,0.0023205156251151493
synthetic,orient,valid_control,witness_seconds,32,0,0.001802799999495619,0.0035990749993288773,0.0040171999999074615,0.004394674998820847,0.0057887000002665445,0.003965087499864239
synthetic,orient,valid_control,file_io_seconds,32,0,0.028587100001459476,0.043586224999671686,0.04824969999936002,0.05010625000022628,0.0712002999989636,0.046637365624974336
synthetic,orient,valid_control,file_witness_seconds,32,0,0.0018429000010655727,0.0036026750008204544,0.0045591000007334515,0.004940525001075002,0.006173200001285295,0.004260103125091064
synthetic,orient,valid_control,file_unavailable_elapsed_seconds,0,32,,,,,,
synthetic,pad,valid_control,producer_seconds,32,0,0.0007243000000016764,0.0010596750012155098,0.0013262499996926636,0.001687400000719208,0.0019390000015846454,0.0013522375001571163
synthetic,pad,valid_control,witness_seconds,32,0,0.002709399999730522,0.005230400000982627,0.006319549999716401,0.006967374999931053,0.009673900000052527,0.006132871875252022
synthetic,pad,valid_control,file_io_seconds,32,0,0.029713199999605422,0.044839349999620026,0.04945309999948222,0.052623850000600214,0.06066830000054324,0.04813978750001979
synthetic,pad,valid_control,file_witness_seconds,32,0,0.002733799999987241,0.004886475000603241,0.005717449999792734,0.006432199999835575,0.010835099999894737,0.005795468750136479
synthetic,pad,valid_control,file_unavailable_elapsed_seconds,0,32,,,,,,
synthetic,premature_integer_storage,own_wrapper_mutation,producer_seconds,32,0,0.000785300000643474,0.0012907750010526797,0.0016495499994562124,0.0020366249996186525,0.002570200000263867,0.001685040625147849
synthetic,premature_integer_storage,own_wrapper_mutation,witness_seconds,32,0,0.014098699999522069,0.034801650001099915,0.048888300000726304,0.06474174999948445,0.08864160000121046,0.049550928124972415
synthetic,premature_integer_storage,own_wrapper_mutation,file_io_seconds,32,0,0.03038139999989653,0.05343297499939581,0.056742550000308256,0.06193417500026044,0.07831359999909182,0.05621606874990448
synthetic,premature_integer_storage,own_wrapper_mutation,file_witness_seconds,32,0,0.013923600001362502,0.036477399999057525,0.04872549999981857,0.06050500000037573,0.08964860000014596,0.048669868750153
synthetic,premature_integer_storage,own_wrapper_mutation,file_unavailable_elapsed_seconds,0,32,,,,,,
synthetic,roi_truncation,support_policy_control,producer_seconds,32,0,0.0005627999998978339,0.0007800000003044261,0.0008375999996133032,0.001144549999935407,0.0013376000006246613,0.0009394625001277745
