grouping,engine,source_kind,modality,operation,metric,available_n,missing_n,min,q25,median,q75,max,mean
engine_kind_modality_operation,mirp,public_anatomical,mr,linear_1p3,baseline_seconds,12,0,1.295259200000146,1.7785029249998843,1.8655974500015873,2.3342345000000932,4.814801599997736,2.1360121666672662
engine_kind_modality_operation,mirp,public_anatomical,mr,linear_1p3,audited_seconds,12,0,0.997261399999843,1.8489858750008352,2.076414199998908,2.9028345750011795,5.3766408000010415,2.3530712583330264
engine_kind_modality_operation,mirp,public_anatomical,mr,linear_1p3,total_seconds,12,0,3.4134645000012824,4.726908299998286,5.049546049998753,6.369651875000272,11.492657800001325,5.640571266667091
engine_kind_modality_operation,mirp,synthetic,mr,cubic_1p3,baseline_seconds,8,0,2.177927799999452,3.615494924999439,4.249393449999843,4.583802800001649,5.142966399998841,4.020088824999675
engine_kind_modality_operation,mirp,synthetic,mr,cubic_1p3,audited_seconds,8,0,3.6101546000027156,5.436244649999026,6.614438499998869,7.444932625000547,7.959475300001941,6.295372150000276
engine_kind_modality_operation,mirp,synthetic,mr,cubic_1p3,total_seconds,8,0,6.942959599997266,10.481754624997848,11.973480050000944,13.418408549998276,14.680538599997817,11.603096949998871
engine_kind_modality_operation,mirp,synthetic,mr,identity,baseline_seconds,8,0,3.075804000000062,3.6015703499988376,4.018475700000636,4.851755100000446,4.889846800000669,4.1131307250002465
engine_kind_modality_operation,mirp,synthetic,mr,identity,audited_seconds,8,0,2.9159491999998863,3.721775899998647,4.452532899998914,5.263183425000534,6.11473240000123,4.507371912499821
engine_kind_modality_operation,mirp,synthetic,mr,identity,total_seconds,8,0,7.738951899998938,8.437755500000094,9.788166949998413,11.412925799998447,12.320194600000832,9.89302697499943
engine_kind_modality_operation,mirp,synthetic,mr,linear_1p3,baseline_seconds,8,0,2.4868279000002076,3.2252072749988656,3.960957100000087,5.13267569999789,5.804095799998322,4.085213374999512
engine_kind_modality_operation,mirp,synthetic,mr,linear_1p3,audited_seconds,8,0,2.9843280000022787,3.379884349998065,4.093752900000254,4.606121024999993,6.61112299999877,4.310175987499861
engine_kind_modality_operation,mirp,synthetic,mr,linear_1p3,total_seconds,8,0,6.620686199999909,8.17175167500136,9.134303500000897,11.117074874998252,13.71607959999892,9.656387099999847
engine_kind_modality_operation,pyradiomics,public_anatomical,ct,identity,baseline_seconds,2,0,1.3066462999995565,2.278587224999683,3.250528149999809,4.222469074999935,5.194410000000062,3.250528149999809
engine_kind_modality_operation,pyradiomics,public_anatomical,ct,identity,audited_seconds,2,0,18.697105300001567,30.266385350001656,41.835665400001744,53.40494545000183,64.97422550000192,41.835665400001744
engine_kind_modality_operation,pyradiomics,public_anatomical,ct,identity,total_seconds,2,0,20.87119370000073,33.453251850000925,46.03531000000112,58.61736815000131,71.1994263000015,46.03531000000112
engine_kind_modality_operation,pyradiomics,public_anatomical,mr,cubic_1p3,baseline_seconds,12,0,0.04343910000170581,0.04640802500216523,0.048678700000891695,0.05097012500027631,0.05431070000122418,0.04879414166771312
engine_kind_modality_operation,pyradiomics,public_anatomical,mr,cubic_1p3,audited_seconds,12,0,0.23194909999801894,0.7453752499986877,0.8269866000009642,0.9023606500013557,1.0162525999985519,0.7889849416660581
engine_kind_modality_operation,pyradiomics,public_anatomical,mr,cubic_1p3,total_seconds,12,0,0.8659870999981649,1.4128261999985625,1.4925731000002997,1.5846649999994042,1.6872736000004807,1.4526471083330155
engine_kind_modality_operation,pyradiomics,public_anatomical,mr,identity,baseline_seconds,12,0,0.04059950000009849,0.041711024998221546,0.043583499998931075,0.04593702500096697,0.05019030000039493,0.044085566666581144
engine_kind_modality_operation,pyradiomics,public_anatomical,mr,identity,audited_seconds,12,0,0.09724099999948521,0.10778177500105812,0.11352964999787218,0.11802962499859859,0.12492200000269804,0.11261333333338068
engine_kind_modality_operation,pyradiomics,public_anatomical,mr,identity,total_seconds,12,0,0.7253080000009504,0.7659959249995154,0.7878137999996397,0.7953053749997707,0.820640199999616,0.7798280083331216
