grouping,engine,source_kind,modality,operation,metric,available_n,missing_n,min,q25,median,q75,max,mean
engine_kind_modality_operation,mirp,public_anatomical,mr,identity,audited_seconds,11,1,4.037454500001331,4.66464415000064,5.180067500001314,6.3750687499996275,7.322914700000183,5.559405736363757
engine_kind_modality_operation,mirp,public_anatomical,mr,identity,total_seconds,12,0,4.332200400000147,9.822235599999203,10.609929799999918,12.430954799999654,14.54989459999888,10.803062416666156
engine_kind_modality_operation,mirp,public_anatomical,mr,linear_1p3,baseline_seconds,12,0,1.386310299998513,1.9670810249995156,2.1673235500002193,2.8347782250007185,4.88992860000144,2.4886735000000044
engine_kind_modality_operation,mirp,public_anatomical,mr,linear_1p3,audited_seconds,12,0,1.5664629000002606,1.9889310000007754,2.2922321499991085,2.6464152750008907,4.332702699999572,2.3927609416665896
engine_kind_modality_operation,mirp,public_anatomical,mr,linear_1p3,total_seconds,12,0,2.9868994999997085,3.984200525000233,4.561351999999715,5.48827214999983,9.259414799998922,4.914816458333007
engine_kind_modality_operation,mirp,synthetic,mr,cubic_1p3,baseline_seconds,8,0,1.5655948999992688,3.599134674999277,4.008875499999704,4.535316399998919,5.270978700000342,3.8578701374995035
engine_kind_modality_operation,mirp,synthetic,mr,cubic_1p3,audited_seconds,8,0,1.840180799999871,4.046602599999915,4.918683750001037,5.271054550001736,5.972879299999477,4.451799100000699
engine_kind_modality_operation,mirp,synthetic,mr,cubic_1p3,total_seconds,8,0,3.4193610999991506,7.666268825001225,8.948059899999862,9.88556007499983,11.034994100000404,8.329460025000117
engine_kind_modality_operation,mirp,synthetic,mr,identity,baseline_seconds,8,0,2.1254116000000067,3.4963272249997317,4.178539850000561,5.353516324999873,6.02367840000079,4.278217062500062
engine_kind_modality_operation,mirp,synthetic,mr,identity,audited_seconds,8,0,1.8513359000007767,3.5769062750005105,4.511565349999728,5.387091425001017,6.0101185999992595,4.284987725000292
engine_kind_modality_operation,mirp,synthetic,mr,identity,total_seconds,8,0,4.322461900001144,7.144700274999195,8.712456900000689,10.761762275001274,12.059798000000228,8.650933362500382
engine_kind_modality_operation,mirp,synthetic,mr,linear_1p3,baseline_seconds,8,0,1.8069297000001825,3.4333222500004013,3.885283049999998,4.78101179999976,6.553178300000582,4.118665012500287
engine_kind_modality_operation,mirp,synthetic,mr,linear_1p3,audited_seconds,8,0,1.8066608000008273,3.6142399250006747,4.233770499999991,5.05559467500143,6.12483599999905,4.144596725000383
engine_kind_modality_operation,mirp,synthetic,mr,linear_1p3,total_seconds,8,0,3.6284221000005346,7.110112324999591,8.338135500000135,9.616162899999381,12.380811800001538,8.287311025000008
engine_kind_modality_operation,pyradiomics,public_anatomical,ct,identity,baseline_seconds,0,2,,,,,,
engine_kind_modality_operation,pyradiomics,public_anatomical,ct,identity,audited_seconds,0,2,,,,,,
engine_kind_modality_operation,pyradiomics,public_anatomical,ct,identity,total_seconds,0,2,,,,,,
engine_kind_modality_operation,pyradiomics,public_anatomical,mr,cubic_1p3,baseline_seconds,9,3,0.07250530000055733,0.10739699999976438,0.12220659999911732,0.12407810000149766,130.52323519999845,14.599151711111213
engine_kind_modality_operation,pyradiomics,public_anatomical,mr,cubic_1p3,audited_seconds,9,3,0.19131000000015774,0.2810040000003937,0.39434590000018943,0.433581299999787,131.06938769999942,14.864641522222074
engine_kind_modality_operation,pyradiomics,public_anatomical,mr,cubic_1p3,total_seconds,9,3,0.2742806999995082,0.40056969999932335,0.5346055999998498,0.5713023000007524,261.60171420000006,29.476447244444596
engine_kind_modality_operation,pyradiomics,public_anatomical,mr,identity,baseline_seconds,9,3,0.054691299999831244,0.07981699999982084,0.08806019999974524,0.09208980000039446,4.789038900000378,0.6034942111111579
engine_kind_modality_operation,pyradiomics,public_anatomical,mr,identity,audited_seconds,9,3,0.09816980000141484,0.14160629999969387,0.17283429999952205,0.1904303000010259,4.059443100000863,0.5879378555560429
engine_kind_modality_operation,pyradiomics,public_anatomical,mr,identity,total_seconds,9,3,0.16031219999968016,0.23464249999960884,0.2817859999995562,0.28765260000000126,8.856651099998999,1.2049510888884671
engine_kind_modality_operation,pyradiomics,public_anatomical,mr,linear_1p3,baseline_seconds,9,3,0.06859310000072583,0.09155189999910363,0.10818530000142346,0.11231119999865768,119.28916070000014,13.342638466666662
engine_kind_modality_operation,pyradiomics,public_anatomical,mr,linear_1p3,audited_seconds,9,3,0.08422160000009171,0.11895480000021053,0.13204190000033122,0.13949869999851217,132.04490179999993,14.782251499999903
engine_kind_modality_operation,pyradiomics,public_anatomical,mr,linear_1p3,total_seconds,9,3,0.1602908999993815,0.21977239999978337,0.25859809999928984,0.2632770000000164,251.34490059999916,28.136820299999574
engine_kind_modality_operation,pyradiomics,synthetic,mr,cubic_1p3,baseline_seconds,8,0,0.06845919999977923,0.07292745000040668,0.07436780000080034,0.07674289999977191,0.07696369999939634,0.07401616250012921
engine_kind_modality_operation,pyradiomics,synthetic,mr,cubic_1p3,audited_seconds,8,0,0.29733020000094257,0.3070412500001112,0.3363207500005956,0.3763839249991179,0.49450419999993755,0.3571380250000402
engine_kind_modality_operation,pyradiomics,synthetic,mr,cubic_1p3,total_seconds,8,0,0.36873560000094585,0.3866262750007081,0.41166120000070805,0.4565521250005986,0.5726267000009102,0.4344342375006818
engine_kind_modality_operation,pyradiomics,synthetic,mr,identity,baseline_seconds,8,0,0.050512300000264077,0.05216357500057711,0.05290770000010525,0.055683800000679184,0.058018100000481354,0.053675887500276076
engine_kind_modality_operation,pyradiomics,synthetic,mr,identity,audited_seconds,8,0,0.06535629999962111,0.07418709999910789,0.07715995000035036,0.07844332500008022,0.08172869999907562,0.07550012499973491
engine_kind_modality_operation,pyradiomics,synthetic,mr,identity,total_seconds,8,0,0.12096420000125363,0.1319682000003013,0.1360825500005376,0.1386392499998692,0.20052550000036717,0.14212745000031646
engine_kind_modality_operation,pyradiomics,synthetic,mr,linear_1p3,baseline_seconds,8,0,0.06790480000017851,0.07083225000042148,0.07181965000017954,0.07494812500044645,0.07669949999944947,0.07244576250013779
engine_kind_modality_operation,pyradiomics,synthetic,mr,linear_1p3,audited_seconds,8,0,0.08856080000077782,0.0915978000002724,0.09507349999967118,0.096873699999378,0.10438579999936337,0.09488529999975981
engine_kind_modality_operation,pyradiomics,synthetic,mr,linear_1p3,total_seconds,8,0,0.1597001000009186,0.16607484999940425,0.17116410000016913,0.17396860000053493,0.1835783000005904,0.17072727500021756
