dataset,case,kind,metric,n,missing,min,q25,median,q75,max,mean
Task04_Hippocampus,isotropic_0p8mm,valid_control,file_io_seconds,3,257,0.04270879999967292,0.0478881500002899,0.053067500000906875,0.0691330999998172,0.08519869999872753,0.06032499999976911
Task04_Hippocampus,isotropic_0p8mm,valid_control,file_witness_seconds,3,257,0.021919699998761644,0.024027550000027986,0.02613540000129433,0.03802645000087068,0.049917500000447035,0.032657533333501
Task04_Hippocampus,isotropic_0p8mm,valid_control,file_unavailable_elapsed_seconds,0,260,,,,,,
Task04_Hippocampus,isotropic_1mm,valid_control,producer_seconds,260,0,0.001774600001226645,0.002788850000797538,0.003554850000909937,0.004353275000084977,0.0059946000001218636,0.0035610480770069093
Task04_Hippocampus,isotropic_1mm,valid_control,witness_seconds,260,0,0.010921900000539608,0.02000374999943233,0.023191100000076403,0.02662292500008334,0.04677149999952235,0.023299166153845783
Task04_Hippocampus,isotropic_1mm,valid_control,file_io_seconds,3,257,0.025256099999751314,0.027163099999597762,0.02907009999944421,0.0401012999991508,0.051132499998857384,0.03515289999935097
Task04_Hippocampus,isotropic_1mm,valid_control,file_witness_seconds,3,257,0.011304800000289106,0.012163800000053016,0.013022799999816925,0.01959660000011354,0.026170400000410154,0.01683266666683873
Task04_Hippocampus,isotropic_1mm,valid_control,file_unavailable_elapsed_seconds,0,260,,,,,,
Task04_Hippocampus,isotropic_2mm,valid_control,producer_seconds,260,0,0.0010820999996212777,0.0016265250001197273,0.002188350000324135,0.002490650000709138,0.004531999999016989,0.002141120384588318
Task04_Hippocampus,isotropic_2mm,valid_control,witness_seconds,260,0,0.0014228999989427393,0.002596974999505619,0.0031653000005462673,0.003736650000064401,0.006494699999166187,0.0032027484614795517
Task04_Hippocampus,isotropic_2mm,valid_control,file_io_seconds,3,257,0.02963599999930011,0.030800149999777204,0.0319643000002543,0.04455770000004122,0.05715109999982815,0.03958379999979419
Task04_Hippocampus,isotropic_2mm,valid_control,file_witness_seconds,3,257,0.0015375000002677552,0.001553700000840763,0.001569900001413771,0.002295550000781077,0.003021200000148383,0.0020428666672766362
Task04_Hippocampus,isotropic_2mm,valid_control,file_unavailable_elapsed_seconds,0,260,,,,,,
Task04_Hippocampus,linear_mask_threshold,own_wrapper_mutation,producer_seconds,260,0,0.004034399999000016,0.006862399999590707,0.00850209999953222,0.01018610000028275,0.014114900001004571,0.008499340384640583
Task04_Hippocampus,linear_mask_threshold,own_wrapper_mutation,witness_seconds,260,0,0.022182599999723607,0.03680297500022789,0.04344074999971781,0.05019705000040631,0.1457524999987072,0.04408925884624925
Task04_Hippocampus,linear_mask_threshold,own_wrapper_mutation,file_io_seconds,3,257,0.0413511999995535,0.048587149999548274,0.05582309999954305,0.07948474999921018,0.10314639999887731,0.06677356666599128
Task04_Hippocampus,linear_mask_threshold,own_wrapper_mutation,file_witness_seconds,3,257,0.023061100000631995,0.02529820000017935,0.027535299999726703,0.04329409999991185,0.059052900000097,0.03654976666681856
Task04_Hippocampus,linear_mask_threshold,own_wrapper_mutation,file_unavailable_elapsed_seconds,0,260,,,,,,
Task04_Hippocampus,orient,valid_control,producer_seconds,260,0,0.0018832999994629063,0.0029476500012606266,0.003501799998957722,0.004076949999216595,0.006236400000489084,0.0035584269230429736
